V1,V2,V3,V4,Class
4.3684,9.6718,-3.9606,-3.1625,1.0
3.2032,5.7588,-0.75345,-0.61251,1.0
5.2423,11.0272,-4.353,-4.1013,1.0
-1.6162,0.80908,8.1628,0.60817,1.0
3.4805,9.7008,-3.7541,-3.4379,1.0
4.3239,-4.8835,3.4356,-0.5776,1.0
5.262,3.9834,-1.5572,1.0103,1.0
0.049175,6.1437,1.7828,-0.72113,1.0
2.1616,-6.8804,8.1517,-0.081048,1.0
-1.8584,7.886,-1.6643,-1.8384,1.0
5.1302,8.6703,-2.8913,-1.5086,1.0
0.4339,5.5395,2.033,-0.40432,1.0
-1.0401,9.3987,0.85998,-5.3336,1.0
5.438,9.4669,-4.9417,-3.9202,1.0
5.032,8.2026,-2.6256,-1.0341,1.0
2.0911,0.94358,4.5512,1.234,1.0
1.7317,-0.34765,4.1905,-0.99138,1.0
3.8481,10.1539,-3.8561,-4.2228,1.0
2.2634,-4.4862,3.6558,-0.61251,1.0
4.8851,1.5995,-0.000291,1.6401,1.0
0.5706,-0.0248,1.2421,-0.5621,1.0
4.0552,-2.4583,2.2806,1.0323,1.0
3.583,-3.7971,3.4391,-0.12501,1.0
-1.2537,10.8803,1.931,-4.3237,1.0
2.7365,-5.0325,6.6608,-0.57889,1.0
5.3063,5.2684,-2.8904,-0.52716,1.0
3.5156,10.1891,-4.2759,-4.978,1.0
1.3562,3.2136,4.3465,0.78662,1.0
-1.3389,1.552,7.0806,1.031,1.0
-2.3361,11.9604,3.0835,-5.4435,1.0
2.7296,2.8701,0.51124,0.5099,1.0
5.2868,3.257,-1.3721,1.1668,1.0
4.0102,10.6568,-4.1388,-5.0646,1.0
3.7731,7.2073,-1.6814,-0.94742,1.0
1.9265,7.7557,-0.16823,-3.0771,1.0
0.20977,-0.46146,7.7267,0.90946,1.0
2.877,-4.0599,3.6259,-0.32544,1.0
0.3223,-0.89808,8.0883,0.69222,1.0
1.6032,-4.7863,8.5193,-2.1203,1.0
2.1274,5.1939,-1.7971,-1.1763,1.0
3.7352,9.5911,-3.9032,-3.3487,1.0
3.5257,1.2829,1.9276,1.7991,1.0
3.5152,6.8224,-0.67377,-0.46898,1.0
1.0607,2.4542,2.5188,-0.17027,1.0
2.0421,1.2436,4.2171,0.90429,1.0
3.0009,5.8126,-2.2306,-0.66553,1.0
3.966,3.9213,0.70574,0.33662,1.0
4.0329,0.23175,0.89082,1.1823,1.0
0.5195,-3.2633,3.0895,-0.9849,1.0
0.3292,-4.4552,4.5718,-0.9888,1.0
3.8999,1.734,1.6011,0.96765,1.0
2.2526,9.9636,-3.1749,-2.9944,1.0
4.3937,0.35798,2.0416,1.2004,1.0
1.9647,6.9383,0.57722,0.66377,1.0
0.3798,0.7098,0.7572,-0.4444,1.0
4.8368,10.0132,-4.3239,-4.3276,1.0
3.4246,-0.14693,0.80342,0.29136,1.0
1.5691,6.3465,-0.1828,-2.4099,1.0
2.8261,9.4007,-3.3034,-1.0509,1.0
-1.8411,10.8306,2.769,-3.0901,1.0
5.8782,5.9409,-2.8544,-0.60863,1.0
4.2406,-2.4852,1.608,0.7155,1.0
3.4669,6.87,-1.0568,-0.73147,1.0
5.7227,5.8312,-2.4097,-0.24527,1.0
4.2475,1.4816,-0.48355,0.95343,1.0
4.2458,1.1981,0.66633,0.94696,1.0
1.4507,8.7903,-2.2324,-0.65259,1.0
5.504,10.3671,-4.413,-4.0211,1.0
1.1676,9.1566,-2.0867,-0.80647,1.0
2.1752,-0.8091,5.1022,-0.67975,1.0
0.93611,8.6413,-1.6351,-1.3043,1.0
-0.2361,9.3221,2.1307,-4.3793,1.0
1.8592,3.2074,-0.15966,-0.26208,1.0
3.7758,7.1783,-1.5195,0.40128,1.0
3.7791,2.5762,1.3098,0.5655,1.0
0.77765,5.9781,1.1941,-0.3526,1.0
2.6562,10.7044,-3.3085,-4.0767,1.0
-0.11996,6.8741,0.91995,-0.6694,1.0
0.5706,-0.024841,1.2421,-0.56208,1.0
2.2429,-4.1427,5.2333,-0.40173,1.0
4.3365,-3.584,3.6884,0.74912,1.0
3.0242,-3.3378,2.5865,-0.54785,1.0
0.5706,-0.0248,1.2421,-0.5621,1.0
3.9166,10.2491,-4.0926,-4.4659,1.0
3.5358,6.7086,-0.81857,0.47886,1.0
1.8216,-6.4748,8.0514,-0.41855,1.0
0.66191,9.6594,-0.28819,-1.6638,1.0
0.3434,0.12415,-0.28733,0.14654,2.0
-0.61442,-0.091058,-0.31818,0.50214,2.0
-0.36506,2.8928,-3.6461,-3.0603,2.0
-3.4083,4.8587,-0.76888,-4.8668,2.0
-1.2568,-1.4733,2.8718,0.44653,2.0
-0.39416,-0.020702,-0.066267,-0.44699,2.0
-2.3211,3.166,-1.0002,-2.7151,2.0
-3.3125,0.10139,0.55323,-0.2957,2.0
-2.2173,1.4671,-0.72689,-1.1724,2.0
-2.799,1.9679,-0.42357,-2.1125,2.0
-1.8629,-0.84841,2.5377,0.097399,2.0
-1.3066,0.25244,0.7623,1.7758,2.0
-0.28696,3.1784,-3.5767,-3.1896,2.0
2.031,1.852,-3.0121,0.003003,2.0
0.4283,-0.94981,-1.0731,0.3211,2.0
-2.121,-0.05588,1.949,1.353,2.0
-3.518,2.8763,0.1548,-1.2086,2.0
-4.577,3.4515,0.66719,-0.94742,2.0
-1.4781,0.14277,-1.1622,-0.48579,2.0
1.7875,4.78,-5.1362,-3.2362,2.0
-5.1661,8.0433,0.044265,-4.4983,2.0
-0.014902,-1.0243,-0.94024,0.64955,2.0
-3.7747,2.5162,0.83341,-0.30993,2.0
-0.30432,2.6528,-2.7756,-0.65647,2.0
-1.7064,3.3088,-2.2829,-2.1978,2.0
-0.41965,2.9094,-1.7859,-2.2069,2.0
2.0177,1.7982,-2.9581,0.2099,2.0
-3.1875,-7.5756,11.8678,-0.57889,2.0
-2.3221,-9.3304,9.233,-0.79871,2.0
0.96708,3.8426,-4.9314,-4.1323,2.0
-2.565,-5.7899,6.0122,0.046968,2.0
-0.87874,-2.2121,-0.051701,0.099985,2.0
0.98296,3.4226,-3.9692,-1.7116,2.0
-3.5741,3.944,-0.07912,-2.1203,2.0
-2.0149,3.6874,-1.9385,-3.8918,2.0
-0.82053,0.65181,-0.48869,-0.52716,2.0
-3.793,-12.7095,12.7957,-2.825,2.0
-3.5798,0.45937,2.3457,-0.45734,2.0
-1.8356,-6.7562,5.0585,-0.55044,2.0
-2.0662,0.16967,-1.0054,-0.82975,2.0
-1.1306,1.8458,-1.3575,-1.3806,2.0
-1.8387,-6.301,5.6506,0.19567,2.0
-4.2333,4.9166,-0.49212,-5.3207,2.0
-3.9297,-6.0816,10.0958,-1.0147,2.0
-4.2887,-7.8633,11.8387,-1.8978,2.0
0.22432,-0.52147,-0.40386,1.2017,2.0
1.581,0.86909,-2.3138,0.82412,2.0
-2.5899,-0.3911,0.93452,0.42972,2.0
0.066129,2.4914,-2.9401,-0.62156,2.0
-4.5046,-5.8126,10.8867,-0.52846,2.0
-2.5419,-0.65804,2.6842,1.1952,2.0
