id,start,end,event,size,state
1,0,913439,0,14,0
12,0,337409,1,12,0
15,1496988,1920116,0,59,0
20,0,163760,0,74,0
22,321117,333561,1,177,0
22,1338413,1690336,1,96,1
23,0,321117,0,47,0
36,0,375989,0,28,0
49,2931,3186,1,54,1
49,3186,32222,1,55,1
49,85445,105660,0,62,1
51,570141,696433,1,55,1
51,1338413,1717379,1,36,1
52,0,122056,1,83,0
56,8338,9920,0,200,1
881,245914,262596,1,552,1
62,185645,318159,0,175,1
68,356461,795561,0,678,0
71,114602,1923842,0,388,1
72,486132,1471017,0,1268,0
77,304685,1937454,0,27,1
79,1225364,1925288,0,97,1
82,0,537,0,47,0
84,229285,715489,1,74,1
85,110,229285,1,74,1
87,623764,729452,1,193,1
93,73428,119385,0,968,1
94,0,267340,0,7,0
99,0,110,1,60,0
110,0,230658,1,403,0
110,230658,409746,1,403,1
113,1066173,1186954,1,250,1
113,1420642,1562881,1,245,1
113,1562900,1700648,0,242,1
116,466859,1338415,0,19,0
118,715489,733875,0,139,1
103,0,1807485,0,1,0
267,0,1667675,0,107,0
271,1717380,1802526,0,48,1
124,1402764,1451499,1,34,1
156,31560,425556,1,412,1
157,665175,669266,1,438,1
157,688219,705633,1,476,1
158,923445,1763287,0,1527,1
161,79359,193157,1,1888,0
162,193157,197331,0,1885,1
164,0,110,1,55,0
166,0,1201096,0,11,0
167,0,772390,0,64,0
279,121481,1825135,0,168,0
281,23276,24555,0,305,0
289,0,321111,0,9,0
295,0,163760,0,17,0
303,30452,45064,0,123,1
307,0,523455,0,113,0
310,0,163760,0,27,0
313,294549,673515,1,243,0
180,705403,711659,1,356,1
180,711659,728355,1,357,1
181,0,919655,0,95,0
182,1718845,1868947,0,116,1
194,0,1560958,0,21,0
195,0,1201096,0,11,0
196,0,1632769,0,12,0
207,715489,733875,0,22,1
197,681041,732012,1,24,1
199,807890,877580,0,86,1
199,888514,943221,0,13,1
200,630916,793455,1,85,1
202,462649,491501,1,848,1
202,731712,750215,1,867,1
202,763183,780950,1,874,1
202,842735,1103333,0,874,1
202,1103333,1228368,1,875,1
202,1349090,1389019,1,999,1
202,1389019,1579986,0,999,1
211,715489,733875,0,100,1
212,132624,729453,1,124,1
223,196587,230977,0,573,1
229,0,747640,0,43,0
232,0,90837,1,102,0
233,11204,1201094,0,90,1
316,0,122094,1,30,0
317,0,6230,1,16,0
317,430728,1338414,0,25,1
238,0,409769,1,527,0
239,1158850,1167285,1,576,1
240,241891,1938426,0,457,1
243,0,1201096,0,11,0
249,0,1070211,0,94,0
254,0,1070211,0,24,0
324,0,277043,0,9,0
326,201061,1927935,0,254,1
327,0,201061,1,96,0
334,321115,333559,1,27,1
338,122094,163759,0,75,1
339,0,6230,1,72,0
339,97361,333560,1,77,1
339,1338413,1717379,1,65,1
340,154662,1403434,0,21,1
344,0,333561,1,105,0
359,401223,1035120,1,27,1
362,0,6230,1,77,0
369,121615,698296,0,568,0
373,0,24090,1,299,0
346,1338416,1717382,1,29,0
388,333559,696402,0,388,1
390,493873,550121,0,17,1
392,0,6192,0,34,0
394,122056,163760,0,58,1
395,333560,550138,0,38,1
397,0,476318,0,44,0
398,0,476318,0,29,0
400,6230,97361,1,76,1
402,550136,570071,1,118,1
411,8416,1404131,0,34,1
412,327010,328194,1,484,1
413,122094,163759,0,54,1
415,0,9469,0,16,0
888,143710,222367,0,42,1
888,222367,313619,0,46,1
889,4251,5316,0,265,1
889,116860,119471,0,341,1
896,120105,122751,1,80,1
896,193582,261197,1,88,1
900,0,58888,0,29,0
907,5948,261198,1,12,1
909,121333,141339,0,149,1
909,141339,154185,0,144,1
912,146628,303344,0,38,1
421,462104,495851,1,3617,1
421,495851,525350,0,3620,1
421,535399,587480,1,3630,1
421,1076364,1114247,1,3633,1
421,1125431,1159941,1,3649,1
